RKDN=3.51e-05   RKDX=5.10e-04   TENTR=6.39e-06   TENTRX=6.67e-05   VVX=-2.69e+01   RAUTEFR=5.48e-03   RAUTEFS=4.09e-03   RQICRMIN=2.41e-07   RQICRMAX=1.28e-05   RQLCR=6.21e-04   TFVI=1.07e-01   TFVL=1.41e-01   RACCEF=1.29e+00   RRIMEF=1.94e+00   RAGGEF=8.99e-01   REVASX=5.14e-08   RREVASXCS=8.67e-02   RSWINHF_LIQ=8.09e-01   RSWINHF_ICE=9.04e-01   RLWINHF_LIQ=5.20e-01   RLWINHF_ICE=5.19e-01   
RKDN=3.49e-05   RKDX=2.35e-04   TENTR=1.61e-05   TENTRX=4.21e-05   VVX=-2.47e+01   RAUTEFR=2.93e-03   RAUTEFS=1.74e-03   RQICRMIN=1.66e-07   RQICRMAX=2.58e-05   RQLCR=2.14e-04   TFVI=1.86e-01   TFVL=8.03e-02   RACCEF=9.62e-01   RRIMEF=1.83e+00   RAGGEF=2.14e-01   REVASX=9.66e-07   RREVASXCS=3.56e-01   RSWINHF_LIQ=5.86e-01   RSWINHF_ICE=8.26e-01   RLWINHF_LIQ=6.14e-01   RLWINHF_ICE=7.90e-01   
RKDN=3.27e-05   RKDX=6.48e-04   TENTR=1.34e-05   TENTRX=1.30e-04   VVX=-2.38e+01   RAUTEFR=5.62e-03   RAUTEFS=4.67e-03   RQICRMIN=1.72e-07   RQICRMAX=1.86e-05   RQLCR=4.22e-04   TFVI=1.83e-01   TFVL=6.62e-02   RACCEF=1.01e+00   RRIMEF=1.38e+00   RAGGEF=1.11e+00   REVASX=1.38e-07   RREVASXCS=5.65e-01   RSWINHF_LIQ=5.19e-01   RSWINHF_ICE=7.34e-01   RLWINHF_LIQ=9.03e-01   RLWINHF_ICE=6.25e-01   
RKDN=4.35e-05   RKDX=2.11e-04   TENTR=1.13e-05   TENTRX=1.10e-04   VVX=-3.31e+01   RAUTEFR=2.78e-03   RAUTEFS=4.70e-03   RQICRMIN=2.85e-07   RQICRMAX=4.36e-05   RQLCR=9.45e-04   TFVI=1.59e-01   TFVL=1.27e-01   RACCEF=1.10e+00   RRIMEF=1.04e+00   RAGGEF=6.27e-01   REVASX=4.17e-07   RREVASXCS=7.10e-01   RSWINHF_LIQ=6.12e-01   RSWINHF_ICE=8.81e-01   RLWINHF_LIQ=8.14e-01   RLWINHF_ICE=9.91e-01   
RKDN=2.75e-05   RKDX=3.68e-04   TENTR=1.05e-05   TENTRX=5.17e-05   VVX=-4.11e+01   RAUTEFR=2.23e-03   RAUTEFS=9.62e-04   RQICRMIN=2.89e-07   RQICRMAX=2.46e-05   RQLCR=9.31e-04   TFVI=1.78e-01   TFVL=6.03e-02   RACCEF=1.04e+00   RRIMEF=9.66e-01   RAGGEF=9.07e-01   REVASX=3.46e-07   RREVASXCS=7.74e-01   RSWINHF_LIQ=9.72e-01   RSWINHF_ICE=5.40e-01   RLWINHF_LIQ=7.09e-01   RLWINHF_ICE=5.55e-01   
RKDN=3.00e-05   RKDX=9.65e-04   TENTR=1.56e-05   TENTRX=1.35e-04   VVX=-2.43e+01   RAUTEFR=9.62e-04   RAUTEFS=2.68e-03   RQICRMIN=8.65e-08   RQICRMAX=4.44e-05   RQLCR=1.53e-04   TFVI=1.16e-01   TFVL=1.77e-01   RACCEF=1.11e+00   RRIMEF=1.41e+00   RAGGEF=1.13e+00   REVASX=3.69e-07   RREVASXCS=1.57e-01   RSWINHF_LIQ=7.29e-01   RSWINHF_ICE=5.18e-01   RLWINHF_LIQ=9.31e-01   RLWINHF_ICE=8.85e-01   
RKDN=2.66e-05   RKDX=9.68e-04   TENTR=1.33e-05   TENTRX=6.40e-05   VVX=-4.79e+01   RAUTEFR=5.99e-03   RAUTEFS=2.24e-03   RQICRMIN=1.02e-07   RQICRMAX=4.96e-05   RQLCR=6.89e-04   TFVI=1.06e-01   TFVL=3.30e-02   RACCEF=1.36e+00   RRIMEF=8.32e-01   RAGGEF=3.88e-01   REVASX=7.25e-07   RREVASXCS=9.34e-01   RSWINHF_LIQ=9.67e-01   RSWINHF_ICE=5.01e-01   RLWINHF_LIQ=7.03e-01   RLWINHF_ICE=9.31e-01   
RKDN=2.38e-05   RKDX=2.13e-04   TENTR=6.56e-06   TENTRX=4.86e-05   VVX=-4.35e+01   RAUTEFR=3.58e-03   RAUTEFS=3.09e-03   RQICRMIN=1.94e-07   RQICRMAX=3.26e-05   RQLCR=7.40e-04   TFVI=4.19e-02   TFVL=1.73e-01   RACCEF=1.10e+00   RRIMEF=7.95e-01   RAGGEF=9.42e-01   REVASX=2.50e-07   RREVASXCS=5.26e-01   RSWINHF_LIQ=9.37e-01   RSWINHF_ICE=7.12e-01   RLWINHF_LIQ=8.83e-01   RLWINHF_ICE=8.58e-01   
RKDN=3.09e-05   RKDX=5.20e-04   TENTR=1.87e-05   TENTRX=1.22e-04   VVX=-3.90e+01   RAUTEFR=5.56e-03   RAUTEFS=1.78e-03   RQICRMIN=2.04e-07   RQICRMAX=2.92e-05   RQLCR=9.56e-04   TFVI=1.13e-01   TFVL=7.94e-03   RACCEF=6.31e-01   RRIMEF=1.81e+00   RAGGEF=7.00e-01   REVASX=6.52e-07   RREVASXCS=8.86e-01   RSWINHF_LIQ=8.52e-01   RSWINHF_ICE=9.52e-01   RLWINHF_LIQ=9.77e-01   RLWINHF_ICE=8.71e-01   
RKDN=2.89e-05   RKDX=9.50e-04   TENTR=1.57e-05   TENTRX=4.14e-05   VVX=-4.24e+01   RAUTEFR=8.88e-04   RAUTEFS=3.36e-03   RQICRMIN=2.86e-07   RQICRMAX=2.40e-05   RQLCR=8.16e-04   TFVI=7.66e-02   TFVL=5.09e-02   RACCEF=1.31e+00   RRIMEF=1.59e+00   RAGGEF=1.16e+00   REVASX=4.31e-07   RREVASXCS=9.74e-02   RSWINHF_LIQ=8.71e-01   RSWINHF_ICE=9.25e-01   RLWINHF_LIQ=7.72e-01   RLWINHF_ICE=7.45e-01   
RKDN=3.16e-05   RKDX=7.81e-05   TENTR=4.72e-06   TENTRX=1.50e-04   VVX=-2.85e+01   RAUTEFR=4.75e-03   RAUTEFS=5.88e-03   RQICRMIN=1.18e-07   RQICRMAX=1.60e-05   RQLCR=5.28e-04   TFVI=9.46e-02   TFVL=9.05e-02   RACCEF=5.12e-01   RRIMEF=5.85e-01   RAGGEF=1.00e+00   REVASX=3.57e-07   RREVASXCS=6.71e-01   RSWINHF_LIQ=7.57e-01   RSWINHF_ICE=9.87e-01   RLWINHF_LIQ=8.23e-01   RLWINHF_ICE=9.02e-01   
RKDN=4.74e-05   RKDX=1.25e-04   TENTR=8.87e-06   TENTRX=1.21e-04   VVX=-4.18e+01   RAUTEFR=4.65e-03   RAUTEFS=1.67e-03   RQICRMIN=3.50e-08   RQICRMAX=3.89e-05   RQLCR=2.49e-04   TFVI=1.86e-02   TFVL=1.47e-02   RACCEF=9.57e-01   RRIMEF=7.07e-01   RAGGEF=1.38e+00   REVASX=3.19e-07   RREVASXCS=5.36e-01   RSWINHF_LIQ=6.21e-01   RSWINHF_ICE=8.91e-01   RLWINHF_LIQ=9.22e-01   RLWINHF_ICE=9.88e-01   
RKDN=4.77e-05   RKDX=6.31e-04   TENTR=1.65e-05   TENTRX=7.95e-05   VVX=-4.04e+01   RAUTEFR=5.09e-03   RAUTEFS=3.67e-03   RQICRMIN=1.16e-07   RQICRMAX=3.20e-05   RQLCR=2.02e-04   TFVI=1.80e-01   TFVL=1.38e-01   RACCEF=9.33e-01   RRIMEF=7.56e-01   RAGGEF=1.15e+00   REVASX=8.19e-07   RREVASXCS=9.02e-01   RSWINHF_LIQ=7.23e-01   RSWINHF_ICE=7.73e-01   RLWINHF_LIQ=8.76e-01   RLWINHF_ICE=8.39e-01   
RKDN=4.55e-05   RKDX=5.85e-04   TENTR=1.52e-05   TENTRX=6.82e-05   VVX=-3.23e+01   RAUTEFR=2.45e-03   RAUTEFS=3.04e-03   RQICRMIN=1.51e-07   RQICRMAX=2.10e-05   RQLCR=9.42e-04   TFVI=1.45e-01   TFVL=1.55e-01   RACCEF=8.36e-01   RRIMEF=1.91e+00   RAGGEF=8.32e-01   REVASX=6.18e-07   RREVASXCS=7.56e-01   RSWINHF_LIQ=6.71e-01   RSWINHF_ICE=7.39e-01   RLWINHF_LIQ=5.63e-01   RLWINHF_ICE=9.06e-01   
RKDN=3.14e-05   RKDX=5.92e-04   TENTR=1.06e-05   TENTRX=8.23e-05   VVX=-3.34e+01   RAUTEFR=2.10e-03   RAUTEFS=1.48e-03   RQICRMIN=2.37e-07   RQICRMAX=4.01e-05   RQLCR=7.16e-05   TFVI=1.02e-01   TFVL=9.90e-02   RACCEF=7.59e-01   RRIMEF=1.85e+00   RAGGEF=1.12e-01   REVASX=7.85e-07   RREVASXCS=4.09e-01   RSWINHF_LIQ=6.83e-01   RSWINHF_ICE=5.06e-01   RLWINHF_LIQ=7.68e-01   RLWINHF_ICE=8.21e-01   
RKDN=4.30e-05   RKDX=6.00e-04   TENTR=1.20e-05   TENTRX=1.20e-04   VVX=-2.33e+01   RAUTEFR=5.55e-04   RAUTEFS=1.44e-03   RQICRMIN=5.37e-08   RQICRMAX=3.50e-05   RQLCR=6.14e-04   TFVI=1.15e-01   TFVL=1.22e-01   RACCEF=5.39e-01   RRIMEF=1.06e+00   RAGGEF=4.48e-01   REVASX=3.72e-08   RREVASXCS=8.95e-01   RSWINHF_LIQ=9.56e-01   RSWINHF_ICE=7.94e-01   RLWINHF_LIQ=6.82e-01   RLWINHF_ICE=8.26e-01   
RKDN=3.46e-05   RKDX=3.99e-04   TENTR=1.67e-05   TENTRX=1.49e-04   VVX=-4.01e+01   RAUTEFR=5.27e-03   RAUTEFS=8.45e-04   RQICRMIN=1.54e-07   RQICRMAX=2.99e-05   RQLCR=1.20e-04   TFVI=1.09e-01   TFVL=1.84e-01   RACCEF=7.26e-01   RRIMEF=1.95e+00   RAGGEF=2.55e-01   REVASX=5.16e-07   RREVASXCS=5.81e-01   RSWINHF_LIQ=6.86e-01   RSWINHF_ICE=8.31e-01   RLWINHF_LIQ=6.40e-01   RLWINHF_ICE=9.85e-01   
RKDN=3.43e-05   RKDX=1.83e-04   TENTR=1.74e-05   TENTRX=4.31e-05   VVX=-3.35e+01   RAUTEFR=1.57e-03   RAUTEFS=3.93e-03   RQICRMIN=2.03e-08   RQICRMAX=4.24e-05   RQLCR=4.42e-04   TFVI=1.68e-01   TFVL=1.88e-01   RACCEF=9.54e-01   RRIMEF=8.00e-01   RAGGEF=1.44e+00   REVASX=3.83e-07   RREVASXCS=2.65e-01   RSWINHF_LIQ=8.37e-01   RSWINHF_ICE=7.54e-01   RLWINHF_LIQ=9.46e-01   RLWINHF_ICE=6.39e-01   
RKDN=2.57e-05   RKDX=7.64e-04   TENTR=1.54e-05   TENTRX=1.18e-04   VVX=-3.00e+01   RAUTEFR=1.00e-03   RAUTEFS=3.20e-03   RQICRMIN=1.41e-07   RQICRMAX=4.71e-05   RQLCR=4.88e-04   TFVI=4.01e-02   TFVL=1.98e-01   RACCEF=1.25e+00   RRIMEF=6.18e-01   RAGGEF=1.99e-01   REVASX=1.12e-07   RREVASXCS=8.17e-01   RSWINHF_LIQ=7.07e-01   RSWINHF_ICE=6.89e-01   RLWINHF_LIQ=8.05e-01   RLWINHF_ICE=5.63e-01   
RKDN=2.72e-05   RKDX=6.38e-04   TENTR=5.30e-06   TENTRX=1.19e-04   VVX=-3.56e+01   RAUTEFR=4.85e-03   RAUTEFS=1.27e-03   RQICRMIN=8.09e-08   RQICRMAX=4.21e-05   RQLCR=7.50e-04   TFVI=6.67e-02   TFVL=6.77e-02   RACCEF=1.38e+00   RRIMEF=1.09e+00   RAGGEF=1.46e+00   REVASX=1.31e-07   RREVASXCS=6.44e-01   RSWINHF_LIQ=7.37e-01   RSWINHF_ICE=9.72e-01   RLWINHF_LIQ=5.90e-01   RLWINHF_ICE=5.86e-01   
RKDN=2.29e-05   RKDX=3.03e-04   TENTR=7.99e-06   TENTRX=6.71e-05   VVX=-2.32e+01   RAUTEFR=5.00e-03   RAUTEFS=5.60e-04   RQICRMIN=5.74e-08   RQICRMAX=3.16e-05   RQLCR=4.20e-04   TFVI=8.25e-02   TFVL=4.61e-02   RACCEF=6.80e-01   RRIMEF=1.13e+00   RAGGEF=4.66e-01   REVASX=8.44e-07   RREVASXCS=4.62e-02   RSWINHF_LIQ=6.93e-01   RSWINHF_ICE=7.02e-01   RLWINHF_LIQ=8.59e-01   RLWINHF_ICE=6.62e-01   
RKDN=4.92e-05   RKDX=6.99e-04   TENTR=8.75e-06   TENTRX=1.40e-04   VVX=-4.95e+01   RAUTEFR=7.05e-04   RAUTEFS=1.38e-03   RQICRMIN=1.29e-07   RQICRMAX=3.30e-05   RQLCR=1.10e-04   TFVI=1.38e-01   TFVL=1.59e-01   RACCEF=6.57e-01   RRIMEF=1.56e+00   RAGGEF=1.34e+00   REVASX=2.71e-07   RREVASXCS=4.48e-01   RSWINHF_LIQ=5.93e-01   RSWINHF_ICE=5.82e-01   RLWINHF_LIQ=6.70e-01   RLWINHF_ICE=8.12e-01   
RKDN=3.81e-05   RKDX=4.41e-04   TENTR=5.05e-06   TENTRX=4.69e-05   VVX=-2.28e+01   RAUTEFR=3.77e-03   RAUTEFS=3.47e-03   RQICRMIN=6.46e-08   RQICRMAX=3.74e-05   RQLCR=8.65e-04   TFVI=5.48e-02   TFVL=1.32e-01   RACCEF=1.05e+00   RRIMEF=5.36e-01   RAGGEF=1.17e+00   REVASX=5.65e-07   RREVASXCS=1.78e-01   RSWINHF_LIQ=6.62e-01   RSWINHF_ICE=7.26e-01   RLWINHF_LIQ=8.81e-01   RLWINHF_ICE=7.10e-01   
RKDN=3.91e-05   RKDX=7.41e-04   TENTR=4.75e-06   TENTRX=1.03e-04   VVX=-2.55e+01   RAUTEFR=5.49e-03   RAUTEFS=6.15e-04   RQICRMIN=1.76e-07   RQICRMAX=2.04e-05   RQLCR=4.49e-04   TFVI=4.67e-02   TFVL=1.19e-01   RACCEF=1.37e+00   RRIMEF=1.33e+00   RAGGEF=5.69e-01   REVASX=4.41e-07   RREVASXCS=9.58e-01   RSWINHF_LIQ=8.54e-01   RSWINHF_ICE=8.20e-01   RLWINHF_LIQ=5.68e-01   RLWINHF_ICE=8.25e-01   
RKDN=2.82e-05   RKDX=8.40e-04   TENTR=1.28e-05   TENTRX=1.05e-04   VVX=-3.96e+01   RAUTEFR=8.45e-04   RAUTEFS=1.38e-03   RQICRMIN=2.72e-07   RQICRMAX=1.98e-05   RQLCR=2.50e-04   TFVI=1.61e-01   TFVL=9.98e-02   RACCEF=7.54e-01   RRIMEF=1.02e+00   RAGGEF=1.24e+00   REVASX=8.57e-07   RREVASXCS=9.67e-01   RSWINHF_LIQ=6.37e-01   RSWINHF_ICE=5.70e-01   RLWINHF_LIQ=6.62e-01   RLWINHF_ICE=5.82e-01   
RKDN=3.01e-05   RKDX=2.04e-04   TENTR=5.66e-06   TENTRX=6.53e-05   VVX=-3.14e+01   RAUTEFR=2.39e-03   RAUTEFS=5.40e-04   RQICRMIN=1.95e-07   RQICRMAX=3.48e-05   RQLCR=5.10e-04   TFVI=1.54e-01   TFVL=4.92e-02   RACCEF=9.88e-01   RRIMEF=5.61e-01   RAGGEF=1.49e-01   REVASX=7.89e-07   RREVASXCS=4.77e-01   RSWINHF_LIQ=5.52e-01   RSWINHF_ICE=7.82e-01   RLWINHF_LIQ=8.93e-01   RLWINHF_ICE=6.13e-01   
RKDN=4.02e-05   RKDX=6.41e-04   TENTR=1.98e-05   TENTRX=8.59e-05   VVX=-4.87e+01   RAUTEFR=4.06e-03   RAUTEFS=3.53e-03   RQICRMIN=1.10e-07   RQICRMAX=4.70e-05   RQLCR=7.94e-05   TFVI=5.25e-02   TFVL=8.19e-02   RACCEF=5.31e-01   RRIMEF=1.50e+00   RAGGEF=7.13e-01   REVASX=8.33e-07   RREVASXCS=9.26e-01   RSWINHF_LIQ=8.74e-01   RSWINHF_ICE=7.18e-01   RLWINHF_LIQ=6.52e-01   RLWINHF_ICE=5.43e-01   
RKDN=2.15e-05   RKDX=7.57e-04   TENTR=1.17e-05   TENTRX=1.27e-04   VVX=-3.18e+01   RAUTEFR=3.78e-03   RAUTEFS=3.35e-03   RQICRMIN=5.30e-08   RQICRMAX=1.47e-05   RQLCR=7.76e-04   TFVI=5.31e-02   TFVL=5.13e-02   RACCEF=7.07e-01   RRIMEF=1.74e+00   RAGGEF=1.03e+00   REVASX=6.44e-07   RREVASXCS=6.90e-01   RSWINHF_LIQ=8.11e-01   RSWINHF_ICE=5.60e-01   RLWINHF_LIQ=5.91e-01   RLWINHF_ICE=9.14e-01   
RKDN=3.33e-05   RKDX=7.76e-04   TENTR=1.51e-05   TENTRX=1.44e-04   VVX=-4.60e+01   RAUTEFR=3.54e-03   RAUTEFS=4.23e-03   RQICRMIN=2.49e-07   RQICRMAX=2.02e-05   RQLCR=6.51e-04   TFVI=9.61e-02   TFVL=1.83e-01   RACCEF=1.09e+00   RRIMEF=1.13e+00   RAGGEF=1.41e+00   REVASX=1.29e-07   RREVASXCS=3.32e-02   RSWINHF_LIQ=8.64e-01   RSWINHF_ICE=7.07e-01   RLWINHF_LIQ=8.51e-01   RLWINHF_ICE=7.24e-01   
RKDN=2.65e-05   RKDX=9.08e-05   TENTR=1.14e-05   TENTRX=1.03e-04   VVX=-4.90e+01   RAUTEFR=1.99e-03   RAUTEFS=4.12e-03   RQICRMIN=1.45e-07   RQICRMAX=1.34e-05   RQLCR=7.22e-04   TFVI=7.23e-04   TFVL=1.43e-01   RACCEF=6.96e-01   RRIMEF=8.86e-01   RAGGEF=7.29e-01   REVASX=8.80e-07   RREVASXCS=7.29e-01   RSWINHF_LIQ=7.93e-01   RSWINHF_ICE=8.22e-01   RLWINHF_LIQ=9.73e-01   RLWINHF_ICE=8.67e-01   
RKDN=4.80e-05   RKDX=5.01e-04   TENTR=7.43e-06   TENTRX=1.04e-04   VVX=-3.62e+01   RAUTEFR=3.25e-03   RAUTEFS=4.81e-03   RQICRMIN=1.92e-07   RQICRMAX=1.04e-05   RQLCR=7.94e-04   TFVI=7.73e-02   TFVL=8.53e-02   RACCEF=1.36e+00   RRIMEF=1.78e+00   RAGGEF=1.45e+00   REVASX=5.34e-07   RREVASXCS=8.77e-01   RSWINHF_LIQ=9.17e-01   RSWINHF_ICE=7.77e-01   RLWINHF_LIQ=6.70e-01   RLWINHF_ICE=7.61e-01   
RKDN=4.65e-05   RKDX=7.51e-04   TENTR=5.43e-06   TENTRX=1.48e-04   VVX=-3.79e+01   RAUTEFR=4.92e-03   RAUTEFS=3.43e-03   RQICRMIN=2.20e-07   RQICRMAX=1.40e-05   RQLCR=7.11e-04   TFVI=1.11e-01   TFVL=2.33e-02   RACCEF=1.05e+00   RRIMEF=1.46e+00   RAGGEF=1.62e-01   REVASX=1.85e-07   RREVASXCS=7.85e-01   RSWINHF_LIQ=9.42e-01   RSWINHF_ICE=5.92e-01   RLWINHF_LIQ=6.59e-01   RLWINHF_ICE=6.91e-01   
RKDN=2.78e-05   RKDX=6.77e-04   TENTR=7.20e-06   TENTRX=1.15e-04   VVX=-2.96e+01   RAUTEFR=3.01e-03   RAUTEFS=2.11e-03   RQICRMIN=2.25e-07   RQICRMAX=4.52e-05   RQLCR=7.87e-04   TFVI=8.99e-02   TFVL=7.19e-02   RACCEF=8.64e-01   RRIMEF=1.88e+00   RAGGEF=6.73e-01   REVASX=4.72e-07   RREVASXCS=1.01e-01   RSWINHF_LIQ=5.83e-01   RSWINHF_ICE=9.09e-01   RLWINHF_LIQ=5.46e-01   RLWINHF_ICE=9.12e-01   
RKDN=3.65e-05   RKDX=8.01e-04   TENTR=5.21e-06   TENTRX=6.36e-05   VVX=-3.42e+01   RAUTEFR=1.51e-03   RAUTEFS=5.26e-03   RQICRMIN=2.26e-07   RQICRMAX=1.04e-05   RQLCR=8.50e-04   TFVI=5.76e-03   TFVL=5.94e-02   RACCEF=8.44e-01   RRIMEF=7.24e-01   RAGGEF=1.04e+00   REVASX=6.11e-07   RREVASXCS=5.70e-02   RSWINHF_LIQ=5.05e-01   RSWINHF_ICE=5.54e-01   RLWINHF_LIQ=8.61e-01   RLWINHF_ICE=6.79e-01   
RKDN=2.36e-05   RKDX=6.55e-04   TENTR=7.90e-06   TENTRX=7.83e-05   VVX=-3.30e+01   RAUTEFR=3.17e-03   RAUTEFS=5.81e-03   RQICRMIN=2.67e-07   RQICRMAX=1.11e-05   RQLCR=1.28e-04   TFVI=8.38e-02   TFVL=1.39e-01   RACCEF=1.21e+00   RRIMEF=1.62e+00   RAGGEF=3.80e-01   REVASX=5.01e-07   RREVASXCS=9.88e-01   RSWINHF_LIQ=9.00e-01   RSWINHF_ICE=5.40e-01   RLWINHF_LIQ=6.89e-01   RLWINHF_ICE=5.77e-01   
RKDN=4.09e-05   RKDX=9.75e-04   TENTR=1.01e-05   TENTRX=9.76e-05   VVX=-4.63e+01   RAUTEFR=3.47e-03   RAUTEFS=2.02e-03   RQICRMIN=2.17e-07   RQICRMAX=4.66e-05   RQLCR=2.85e-04   TFVI=1.99e-02   TFVL=1.15e-01   RACCEF=1.42e+00   RRIMEF=1.89e+00   RAGGEF=2.94e-01   REVASX=1.08e-07   RREVASXCS=3.64e-01   RSWINHF_LIQ=6.55e-01   RSWINHF_ICE=9.10e-01   RLWINHF_LIQ=6.28e-01   RLWINHF_ICE=5.35e-01   
RKDN=3.64e-05   RKDX=4.76e-04   TENTR=1.30e-05   TENTRX=1.38e-04   VVX=-3.72e+01   RAUTEFR=2.68e-03   RAUTEFS=4.93e-03   RQICRMIN=9.38e-08   RQICRMAX=3.39e-05   RQLCR=9.64e-04   TFVI=1.67e-01   TFVL=4.24e-02   RACCEF=9.91e-01   RRIMEF=1.43e+00   RAGGEF=1.45e+00   REVASX=6.54e-08   RREVASXCS=6.48e-01   RSWINHF_LIQ=7.99e-01   RSWINHF_ICE=9.22e-01   RLWINHF_LIQ=5.25e-01   RLWINHF_ICE=7.52e-01   
RKDN=3.21e-05   RKDX=1.95e-04   TENTR=1.29e-05   TENTRX=9.02e-05   VVX=-3.08e+01   RAUTEFR=2.40e-03   RAUTEFS=3.26e-03   RQICRMIN=1.86e-07   RQICRMAX=1.68e-05   RQLCR=5.15e-04   TFVI=5.98e-02   TFVL=1.66e-01   RACCEF=1.08e+00   RRIMEF=1.42e+00   RAGGEF=4.59e-01   REVASX=2.63e-07   RREVASXCS=1.90e-01   RSWINHF_LIQ=7.68e-01   RSWINHF_ICE=7.23e-01   RLWINHF_LIQ=7.31e-01   RLWINHF_ICE=6.48e-01   
RKDN=3.19e-05   RKDX=3.70e-04   TENTR=1.83e-05   TENTRX=6.77e-05   VVX=-2.31e+01   RAUTEFR=3.16e-03   RAUTEFS=2.76e-03   RQICRMIN=2.63e-07   RQICRMAX=2.50e-05   RQLCR=5.44e-05   TFVI=1.47e-01   TFVL=1.12e-01   RACCEF=9.45e-01   RRIMEF=1.37e+00   RAGGEF=7.63e-01   REVASX=1.66e-07   RREVASXCS=8.32e-01   RSWINHF_LIQ=7.96e-01   RSWINHF_ICE=7.08e-01   RLWINHF_LIQ=6.16e-01   RLWINHF_ICE=7.57e-01   
RKDN=3.90e-05   RKDX=8.91e-04   TENTR=1.89e-05   TENTRX=1.17e-04   VVX=-4.84e+01   RAUTEFR=3.94e-03   RAUTEFS=2.79e-03   RQICRMIN=1.89e-07   RQICRMAX=1.72e-05   RQLCR=7.57e-04   TFVI=1.95e-01   TFVL=1.85e-01   RACCEF=8.68e-01   RRIMEF=5.49e-01   RAGGEF=5.38e-01   REVASX=8.09e-07   RREVASXCS=9.98e-01   RSWINHF_LIQ=9.91e-01   RSWINHF_ICE=5.22e-01   RLWINHF_LIQ=5.33e-01   RLWINHF_ICE=8.65e-01   
RKDN=2.18e-05   RKDX=5.80e-04   TENTR=9.73e-06   TENTRX=5.02e-05   VVX=-3.27e+01   RAUTEFR=4.18e-03   RAUTEFS=2.99e-03   RQICRMIN=3.04e-08   RQICRMAX=1.60e-05   RQLCR=7.27e-04   TFVI=1.49e-01   TFVL=1.17e-01   RACCEF=5.03e-01   RRIMEF=1.10e+00   RAGGEF=1.06e+00   REVASX=9.60e-07   RREVASXCS=7.45e-01   RSWINHF_LIQ=7.14e-01   RSWINHF_ICE=8.30e-01   RLWINHF_LIQ=5.49e-01   RLWINHF_ICE=8.55e-01   
RKDN=3.42e-05   RKDX=8.65e-04   TENTR=1.20e-05   TENTRX=8.37e-05   VVX=-3.62e+01   RAUTEFR=9.76e-04   RAUTEFS=4.87e-03   RQICRMIN=2.92e-07   RQICRMAX=3.02e-05   RQLCR=6.19e-04   TFVI=1.27e-01   TFVL=1.80e-01   RACCEF=1.26e+00   RRIMEF=1.92e+00   RAGGEF=2.23e-01   REVASX=6.33e-07   RREVASXCS=2.12e-01   RSWINHF_LIQ=8.27e-01   RSWINHF_ICE=5.76e-01   RLWINHF_LIQ=8.70e-01   RLWINHF_ICE=7.63e-01   
RKDN=3.97e-05   RKDX=1.03e-04   TENTR=6.57e-06   TENTRX=5.34e-05   VVX=-2.41e+01   RAUTEFR=5.76e-03   RAUTEFS=2.14e-03   RQICRMIN=8.20e-08   RQICRMAX=1.89e-05   RQLCR=7.69e-04   TFVI=1.45e-01   TFVL=3.69e-02   RACCEF=1.14e+00   RRIMEF=1.73e+00   RAGGEF=1.30e+00   REVASX=5.80e-07   RREVASXCS=2.78e-01   RSWINHF_LIQ=6.77e-01   RSWINHF_ICE=5.72e-01   RLWINHF_LIQ=5.81e-01   RLWINHF_ICE=8.90e-01   
RKDN=3.57e-05   RKDX=6.73e-04   TENTR=1.39e-05   TENTRX=1.33e-04   VVX=-2.17e+01   RAUTEFR=2.01e-03   RAUTEFS=4.55e-03   RQICRMIN=8.51e-08   RQICRMAX=1.09e-05   RQLCR=9.61e-04   TFVI=4.46e-02   TFVL=4.73e-02   RACCEF=7.98e-01   RRIMEF=1.25e+00   RAGGEF=5.00e-01   REVASX=3.78e-07   RREVASXCS=9.77e-01   RSWINHF_LIQ=9.75e-01   RSWINHF_ICE=9.00e-01   RLWINHF_LIQ=6.85e-01   RLWINHF_ICE=5.38e-01   
RKDN=3.32e-05   RKDX=5.71e-04   TENTR=1.99e-05   TENTRX=9.33e-05   VVX=-4.44e+01   RAUTEFR=1.29e-03   RAUTEFS=2.70e-03   RQICRMIN=2.53e-07   RQICRMAX=2.29e-05   RQLCR=8.57e-05   TFVI=2.20e-02   TFVL=1.95e-01   RACCEF=5.80e-01   RRIMEF=1.52e+00   RAGGEF=4.87e-01   REVASX=1.20e-07   RREVASXCS=7.17e-01   RSWINHF_LIQ=6.13e-01   RSWINHF_ICE=6.93e-01   RLWINHF_LIQ=6.34e-01   RLWINHF_ICE=7.06e-01   
RKDN=4.46e-05   RKDX=2.87e-04   TENTR=1.03e-05   TENTRX=1.37e-04   VVX=-3.10e+01   RAUTEFR=4.12e-03   RAUTEFS=2.52e-03   RQICRMIN=1.33e-07   RQICRMAX=4.42e-05   RQLCR=8.03e-04   TFVI=6.25e-02   TFVL=1.67e-01   RACCEF=1.44e+00   RRIMEF=5.76e-01   RAGGEF=3.50e-01   REVASX=8.96e-07   RREVASXCS=1.60e-01   RSWINHF_LIQ=5.30e-01   RSWINHF_ICE=7.37e-01   RLWINHF_LIQ=6.94e-01   RLWINHF_ICE=5.10e-01   
